Summary,Description,Issue Type,Priority,Component,Labels,Epic Name,Epic Link
"Phase 1 render service (Puppeteer image render)","Spin up a render endpoint that takes { mediaId, template, aspectRatio, format } and returns a rendered PNG. Uses Puppeteer to load a stripped-down /render.html page that reuses the preview render code at exact pixel dimensions, screenshots, uploads to Cloudinary, persists RenderArtifact. Image-only for Phase 1; video comes in Phase 2.",Story,High,Render,render;phase-1
"Inline Render button on each Creative Template Preview card","Add a Render PNG action next to the validation status on each preview card in the Creative Template Preview panel. On click: POST /api/render, show spinner, display thumbnail + download link when done.",Task,Medium,Render,render;ui
"Rendered Creatives gallery panel","New section below Creative Template Preview showing all RenderArtifacts for the current Media. Each card: template name, aspect ratio, format, thumbnail, file size, Open / Download / Push-to-campaign actions. Includes a Render all button that queues every template-ratio combo that passes validation.",Story,Medium,Render,render;ui
"Batch render on rights approval","When rights.approved flips to true, enqueue render jobs for the top N viable (template, ratio) combinations so creatives are pre-warmed for campaign push.",Task,Low,Render,render;workflow
"Phase 2 render service: separate deployment + video rendering","Split the render service into its own Render deployment with a Puppeteer worker pool. Add ffmpeg-based video pipeline for MP4 output; compose source video clips with overlays via CSS animation captured as frames. Migrate off in-process deployment.",Story,Low,Render,render;phase-2;extraction
"Video overlay zones: pass cross-frame safeRect as forbidden to Gemini","The detect pipeline already computes safeRect (union of all YOLO detections across frames + primary subjects). Thread it into the overlay-zone Gemini prompt as an explicit forbidden rect so creator-subject motion doesn't collide with overlays in the clip.",Task,Medium,Overlay Zones,overlay-zones;video
"Video overlay zones: multi-frame analysis (sample 3 frames)","For video Media, sample start/middle/end frames of the clip, run overlay-zone analysis on each, union the forbidden rects and intersect the safe zones. Replaces the current hero-frame-only analysis.",Story,Low,Overlay Zones,overlay-zones;video
"Video overlay zones: analyze rendered self-underlay output","Extract N frames from the rendered self-underlay Cloudinary video URL via so_<sec> transforms and analyze those instead of the hero frame. Highest fidelity, highest cost; only do this once real overlay-on-video failures surface.",Story,Low,Overlay Zones,overlay-zones;video
"Populate media.supporting_media with secondary smart-crop winner","Currently null; slot chain falls through to product.hero_media so results_proof shows the same image twice. Pick an alternate-ratio smart-crop winner as media.supporting_media[0] so the support_media zone renders a complementary framing.",Task,Medium,Layout Input,layout-input;placement
"Populate media.background_media as source fallback","Populate media.background_media with the source fileUrl so templates that reach the end of the support_media source_priority chain have a blurred-bg fallback asset.",Task,Low,Layout Input,layout-input;placement
"Add overlay-mode variants for other templates","Roll out the image-as-canvas placement pattern to ugc_split_screen, review_collage, results_proof, creator_endorsement — register each as <template>_overlay with its own priority + region hints. Validate against real media.",Story,Low,Layout Input,layout-input;overlay-mode
"Iterate overlay placement quality from real-world renders","Review placement outputs across brands/ratios, tune region hints, size bounds, scrim strength, inset fallback thresholds based on visual quality feedback.",Task,Medium,Layout Input,layout-input;overlay-mode
"Add 16:9 aspect ratio to extendedCropsService","The renderer's canvas spec supports 16:9 but extendedCropsService only produces 9:16 and 1.91:1. Add 16:9 entry to NEW_RATIOS so horizontal placements get AI-extended assets instead of falling back to a base-ratio winner.",Task,Medium,Extended Crops,crops;ratios
"Judge bias fix: defects-list pass before scoring","The current extended-crop judge has residual self-preference bias for gpt-image-1 over Gemini that slot-blinding + weighting + tighter rejects didn't fully address. Change the prompt to require an itemized per-candidate defects list before scoring. Forces detection of label / shape / text mutations a holistic score glosses over.",Story,Medium,Judge,judge;bias-fix
"Judge bias fix: cross-provider second opinion","Run Gemini 2.5 Pro as a second judge in parallel with the GPT-4.1 judge; only declare a winner when both models agree. On disagreement, fall back to the label_logo_fidelity leader. Structurally eliminates self-preference.",Story,Medium,Judge,judge;bias-fix
"Judge bias fix: OCR verification of source text","We already detect source text in subjectTextService. Run OCR on each extended-crop candidate and auto-reject any that's missing a detected source token. Objective tie-break.",Task,Low,Judge,judge;bias-fix
"Remove Gemini-extension winner override","Currently the judge's pick is overridden to force Gemini extension as winner due to unresolved bias. Remove this stopgap once one of the judge-bias fixes (defects-list / cross-provider / OCR) lands and the organic winner is trustworthy.",Task,Low,Judge,judge;bias-fix;cleanup
"Feed YOLO detections into GPT subject-text prompt as anchors","Currently YOLO and GPT subject-text run independently. Pass YOLO bboxes into the GPT prompt as known objects so the two streams reconcile at detection time instead of disagreeing at judge time. Improves primarySubject quality.",Story,Low,Detect Pipeline,detect;architecture
"Reviews via follow-up SerpAPI endpoint","Currently reviews come from the Gemini-synthesized summary (notional/derived). SerpAPI's google_product engine is retired but the google_shopping response includes reviews_results.serpapi_endpoint which points to a follow-up reviews call — chain it to get real individual review rows.",Task,Low,Product Matching,matching;reviews
"Use smart-crop winner URL for Google Lens matching","productMatchService passes the raw source imageUrl to Lens — for UGC this usually frames the person. Swap to the 1:1 smart-crop judge winner URL (subject-tight crop) for cleaner Lens matches.",Task,Medium,Product Matching,matching
"Upload YOLO primary product crop for tightest Lens match","For video Media, upload the YOLO primary product cropBuffer as a separate Cloudinary image and pass its URL to Lens. Tightest possible match isolation.",Task,Low,Product Matching,matching;video
"Brand curation UI (list + edit)","Simple admin screen at /brands that lists all Brand docs (stub / enriched / curated), supports edit of name, tagline, logo, colors, font, demographics. Flips source=curated so automatic enrichment never overwrites. Needed once stub-only brands are obviously wrong.",Story,Medium,Brand Catalog,brand;ui;curation
"Persona avatar generation via gpt-image-1","Generate an avatarUrl per demographic in Brand.demographics[] by calling gpt-image-1 with the persona description. Uploads to Cloudinary, sets demographic.avatarUrl. Used by the renderer for quote attribution avatars in creator_endorsement / review_collage.",Story,Low,Brand Catalog,brand;personas;ai-gen
"Brand font loading in preview + renderer","When brand.font_family is set, load the font from Google Fonts or a bundled WOFF/WOFF2 in the preview page and the Puppeteer render context. Currently we just set the CSS font-family and hope the viewer has it installed.",Task,Low,Brand Catalog,brand;typography
"BrandCanvasVariant promotion flow from AI Layout Studio","If AI Layout Studio outputs prove viable, add a Use this layout button on each extracted reference that promotes it to a BrandCanvasVariant document (brandId, variantName, aspectRatio, canvasSpec). Template picker surfaces these alongside the 5 canonical templates.",Story,Low,AI Layout Studio,ai-studio;brand-variants
"Webhook ingestion for Meta / TikTok / Instagram","Receive posts via webhook, upsert Media by (source, externalId), populate metadata.{creatorName, creatorHandle, caption, postedAt, hashtags}, platformStats.{views, likes, comments, shares, saves}, rights state. Enqueue DetectRun automatically. Unblocks real engagement data for performance.metrics and performance.engagement.",Story,High,Data Ingestion,ingestion;meta;tiktok;instagram
"adSuitability scoring writer","Compute Media.adSuitability { score, reasons, updatedAt } after a DetectRun completes. Heuristic over product count, primary-subject quality, judge scores, engagement density, review signal. Powers a Find ad-suitable media query for future ad-layout service batches.",Task,Low,Data Model,data-model;scoring
"Dedicated rights management screen","Standalone screen listing all Media with pending / approved / revoked rights, batch approval, audit of approvedBy / approvedAt / notes. Current inline toggle on detect review page is adequate for single-media flow but won't scale once webhook ingestion feeds many media at once.",Story,Medium,Workflow,rights;ui;ops
"Product records with source lineage on approval","When an operator approves a YOLO product card into inventory, the resulting Product doc should carry sourceMediaId, sourceRunId, sourceYoloProductId so we can audit where it came from and re-run with the original media if needed.",Task,Low,Workflow,approval;lineage
"Migrate legacy inventory pipeline to Run-style entity","The truck-photo upload and pre-cropped bridge still use the legacy Job model. Move to a PrecroppedRun / InventoryRun lifecycle consistent with DetectRun so both paths share the split-service architecture pattern.",Story,Low,Data Model,legacy;extraction
"Consume overlay restrictions + brightnessGrid in renderer","The renderer v1 doc references scrim application rules but doesn't reference our per-image restrictions[] / brightnessGrid. Wire the overlay-zone analysis into the renderer so scrim placement and hard keep-outs are driven by real image data rather than hardcoded heuristics.",Task,Medium,Render,render;overlay-zones
"Expose judge primaryId as the single source of truth","resolvePrimarySubjectDesc already prefers judge.subjects.primaryId. Audit all other consumers of subjects (extended crops prompts, match service, overlay zones) to make sure none of them silently fall back to GPT's role assignment when a judge pick exists. Document the precedence rule in the subject-text service header.",Task,Low,Detect Pipeline,judge;subjects
